# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000749	BP	e	response to pheromone triggering conjugation with cellular fusion	2/137	8/4436	0.023465308034271593	7	2	1.0	850453, 855197
GO:0000950	BP	e	branched-chain amino acid catabolic process to alcohol via Ehrlich pathway	1/137	1/4436	0.030883678990107258	10	1	1.0	851987
GO:0000951	BP	e	methionine catabolic process to 3-methylthiopropanol	1/137	1/4436	0.030883678990107258	11	1	1.0	851987
GO:0001111	BP	e	promoter clearance from RNA polymerase II promoter	1/137	1/4436	0.030883678990107258	9	1	1.0	855974
GO:0006285	BP	e	base-excision repair, AP site formation	2/137	4/4436	0.005454257219298109	7	2	1.0	851218, 856885
GO:0006533	BP	e	aspartate catabolic process	1/137	1/4436	0.030883678990107258	10	1	1.0	853755
GO:0006611	BP	e	protein export from nucleus	2/137	6/4436	0.013091014410488355	9	2	1.0	851263, 852463
GO:0009081	BP	e	branched-chain amino acid metabolic process	1/137	1/4436	0.030883678990107258	7	1	1.0	853613
GO:0009083	BP	e	branched-chain amino acid catabolic process	2/137	8/4436	0.023465308034271593	8	2	1.0	851987, 853613
GO:0010509	BP	e	polyamine homeostasis	1/137	1/4436	0.030883678990107258	5	1	1.0	852331
GO:0015828	BP	e	tyrosine transport	2/137	7/4436	0.017959048009113278	10	2	1.0	852361, 853457
GO:0015909	BP	e	long-chain fatty acid transport	1/137	1/4436	0.030883678990107258	10	1	1.0	853648
GO:0016579	BP	e	protein deubiquitination	3/137	22/4436	0.028883805733566754	9	3	1.0	851435, 851641, 856835
GO:0018364	BP	e	peptidyl-glutamine methylation	1/137	1/4436	0.030883678990107258	9	1	1.0	851718
GO:0019368	BP	e	fatty acid elongation, unsaturated fatty acid	1/137	1/4436	0.030883678990107258	10	1	1.0	853243
GO:0019551	BP	e	glutamate catabolic process to 2-oxoglutarate	1/137	1/4436	0.030883678990107258	11	1	1.0	851311
GO:0019752	BP	e	carboxylic acid metabolic process	2/137	11/4436	0.04338884149340585	5	2	1.0	851425, 853994
GO:0032120	BP	e	ascospore-type prospore membrane formation	3/137	16/4436	0.012015234507191866	6	3	1.0	851359, 852445, 854349
GO:0033611	BP	e	oxalate catabolic process	1/137	1/4436	0.030883678990107258	8	1	1.0	852523
GO:0034389	BP	e	lipid droplet organization	2/137	8/4436	0.023465308034271593	5	2	1.0	850351, 854995
GO:0035556	BP	e	intracellular signal transduction	5/137	56/4436	0.028276319568938654	5	5	1.0	851173, 851216, 851536, 852316, 855130
GO:0042726	BP	e	flavin-containing compound metabolic process	1/137	1/4436	0.030883678990107258	4	1	1.0	855216
GO:0042759	BP	e	long-chain fatty acid biosynthetic process	1/137	1/4436	0.030883678990107258	9	1	1.0	855247
GO:0044273	BP	e	sulfur compound catabolic process	1/137	1/4436	0.030883678990107258	4	1	1.0	850669
GO:0046306	BP	e	alkanesulfonate catabolic process	1/137	1/4436	0.030883678990107258	5	1	1.0	850669
GO:0070328	BP	e	triglyceride homeostasis	1/137	1/4436	0.030883678990107258	7	1	1.0	856759
GO:0070676	BP	e	intralumenal vesicle formation	2/137	7/4436	0.017959048009113278	7	2	1.0	850712, 851641
GO:0090549	BP	e	response to carbon starvation	1/137	1/4436	0.030883678990107258	6	1	1.0	856759
GO:0106034	BP	e	protein maturation by [2Fe-2S] cluster transfer	2/137	3/4436	0.002783490198729794	7	2	1.0	853586, 856048
GO:0106035	BP	e	protein maturation by [4Fe-4S] cluster transfer	3/137	6/4436	0.000538401580232069	7	3	1.0	851251, 853586, 856048
GO:1902647	BP	e	negative regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process	1/137	1/4436	0.030883678990107258	11	1	1.0	852426
GO:1903044	BP	e	protein localization to membrane raft	1/137	1/4436	0.030883678990107258	6	1	1.0	856702
GO:1905037	BP	e	autophagosome organization	1/137	1/4436	0.030883678990107258	6	1	1.0	855194
GO:2001295	BP	e	malonyl-CoA biosynthetic process	1/137	1/4436	0.030883678990107258	12	1	1.0	855247
GO:0000795	CC	e	synaptonemal complex	2/137	6/4436	0.013091014410488355	3	2	1.0	851110, 852057
GO:0000922	CC	e	spindle pole	2/137	11/4436	0.04338884149340585	2	2	1.0	853513, 854349
GO:0005674	CC	e	transcription factor TFIIF complex	1/137	1/4436	0.030883678990107258	5	1	1.0	855974
GO:0005743	CC	p	mitochondrial inner membrane	1/137	187/4436	0.030141027790253287	5	1	1.0	853585
GO:0005811	CC	e	lipid droplet	5/137	47/4436	0.014142143601735631	5	5	1.0	850351, 851215, 852476, 853920, 854995
GO:0032993	CC	e	protein-DNA complex	1/137	1/4436	0.030883678990107258	2	1	1.0	856885
GO:0033263	CC	e	CORVET complex	2/137	6/4436	0.013091014410488355	3	2	1.0	851261, 852106
GO:0035657	CC	e	eRF1 methyltransferase complex	1/137	1/4436	0.030883678990107258	5	1	1.0	851718
GO:0070971	CC	e	endoplasmic reticulum exit site	1/137	1/4436	0.030883678990107258	2	1	1.0	856430
GO:0000907	MF	e	sulfonate dioxygenase activity	1/137	1/4436	0.030883678990107258	5	1	1.0	850669
GO:0000908	MF	e	taurine dioxygenase activity	1/137	1/4436	0.030883678990107258	5	1	1.0	850669
GO:0003824	MF	e	catalytic activity	16/137	239/4436	0.0030051072034131326	1	16	1.0	850581, 850588, 850715, 850746, 850747, 851218, 851425, 851987, 852523, 853344, 853613, 853755, 853994, 855247, 856705, 856885
GO:0003844	MF	e	1,4-alpha-glucan branching enzyme activity	1/137	1/4436	0.030883678990107258	5	1	1.0	856705
GO:0003905	MF	e	alkylbase DNA N-glycosylase activity	1/137	1/4436	0.030883678990107258	6	1	1.0	856885
GO:0003958	MF	e	NADPH-hemoprotein reductase activity	1/137	1/4436	0.030883678990107258	5	1	1.0	850588
GO:0003989	MF	e	acetyl-CoA carboxylase activity	1/137	1/4436	0.030883678990107258	5	1	1.0	855247
GO:0004075	MF	e	biotin carboxylase activity	1/137	1/4436	0.030883678990107258	4	1	1.0	855247
GO:0004084	MF	e	branched-chain-amino-acid transaminase activity	1/137	1/4436	0.030883678990107258	5	1	1.0	853613
GO:0004107	MF	e	chorismate synthase activity	1/137	1/4436	0.030883678990107258	5	1	1.0	852729
GO:0004352	MF	e	glutamate dehydrogenase (NAD+) activity	1/137	1/4436	0.030883678990107258	6	1	1.0	851311
GO:0004357	MF	e	glutamate-cysteine ligase activity	1/137	1/4436	0.030883678990107258	5	1	1.0	853344
GO:0004401	MF	e	histidinol-phosphatase activity	1/137	1/4436	0.030883678990107258	6	1	1.0	850581
GO:0004843	MF	e	thiol-dependent ubiquitin-specific protease activity	3/137	22/4436	0.028883805733566754	8	3	1.0	851435, 851641, 856835
