# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000001	BP	e	mitochondrion inheritance	6/461	20/4436	0.013277908404168991	6	6	1.0	851249, 851558, 851727, 854079, 856198, 856249
GO:0000002	BP	p	mitochondrial genome maintenance	0/461	36/4436	0.04724557537934331	5	0	1.0	
GO:0000921	BP	e	septin ring assembly	4/461	10/4436	0.014513847278517424	7	4	1.0	850334, 852119, 855607, 856515
GO:0006241	BP	e	CTP biosynthetic process	2/461	3/4436	0.03010501514213773	11	2	1.0	852241, 853567
GO:0006631	BP	e	fatty acid metabolic process	7/461	27/4436	0.01753391520351005	7	7	1.0	851087, 851285, 853243, 854267, 854396, 855247, 856464
GO:0006633	BP	e	fatty acid biosynthetic process	5/461	13/4436	0.007517894586040923	8	5	1.0	851087, 853243, 854396, 855247, 856464
GO:0006750	BP	e	glutathione biosynthetic process	2/461	2/4436	0.010778878968200808	8	2	1.0	853344, 854108
GO:0006826	BP	e	iron ion transport	4/461	12/4436	0.02892676975057895	8	4	1.0	853660, 854563, 855797, 856447
GO:0007094	BP	e	mitotic spindle assembly checkpoint	4/461	14/4436	0.049533329745191694	12	4	1.0	853439, 855607, 856089, 856515
GO:0007117	BP	e	budding cell bud growth	4/461	9/4436	0.009475445727511139	2	4	1.0	850334, 851421, 852119, 853820
GO:0007266	BP	e	Rho protein signal transduction	3/461	8/4436	0.041942699972026834	8	3	1.0	851249, 853929, 854170
GO:0008033	BP	e	tRNA processing	11/461	58/4436	0.04683336271081698	9	11	1.0	851454, 852074, 852832, 853079, 853930, 853995, 853996, 854895, 855008, 855749, 855919
GO:0009168	BP	e	purine ribonucleoside monophosphate biosynthetic process	2/461	2/4436	0.010778878968200808	10	2	1.0	854973, 855581
GO:0015851	BP	e	nucleobase transport	3/461	7/4436	0.028362882422166072	5	3	1.0	850938, 852238, 854364
GO:0015888	BP	e	thiamine transport	2/461	3/4436	0.03010501514213773	5	2	1.0	850938, 854364
GO:0017196	BP	e	N-terminal peptidyl-methionine acetylation	3/461	5/4436	0.009500213820444043	10	3	1.0	854079, 856249, 856657
GO:0018345	BP	e	protein palmitoylation	3/461	8/4436	0.041942699972026834	8	3	1.0	850947, 852070, 854199
GO:0019367	BP	e	fatty acid elongation, saturated fatty acid	2/461	3/4436	0.03010501514213773	10	2	1.0	851087, 853243
GO:0019856	BP	e	pyrimidine nucleobase biosynthetic process	2/461	3/4436	0.03010501514213773	8	2	1.0	852241, 853567
GO:0030154	BP	e	cell differentiation	2/461	3/4436	0.03010501514213773	3	2	1.0	852062, 854981
GO:0030473	BP	e	nuclear migration along microtubule	5/461	13/4436	0.007517894586040923	8	5	1.0	851727, 852034, 855345, 855859, 856736
GO:0030488	BP	e	tRNA methylation	5/461	19/4436	0.04031296188771475	11	5	1.0	852832, 853930, 853995, 853996, 855008
GO:0031030	BP	e	negative regulation of septation initiation signaling	3/461	4/4436	0.004117400043176479	11	3	1.0	855077, 855607, 856515
GO:0031116	BP	e	positive regulation of microtubule polymerization	2/461	3/4436	0.03010501514213773	10	2	1.0	855169, 856736
