# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000147	BP	e	actin cortical patch assembly	2/135	12/4436	0.049697487613804985	7	2	1.0	854713, 855640
GO:0000753	BP	e	cell morphogenesis involved in conjugation with cellular fusion	2/135	8/4436	0.0228241594117537	6	2	1.0	852328, 853902
GO:0000920	BP	e	septum digestion after cytokinesis	2/135	12/4436	0.049697487613804985	2	2	1.0	854223, 855389
GO:0001578	BP	e	microtubule bundle formation	1/135	1/4436	0.030432822362590782	6	1	1.0	854223
GO:0003333	BP	e	amino acid transmembrane transport	3/135	25/4436	0.038882939520309266	9	3	1.0	853710, 854721, 856349
GO:0006000	BP	e	fructose metabolic process	2/135	7/4436	0.01746312620024637	6	2	1.0	851059, 854699
GO:0006003	BP	e	fructose 2,6-bisphosphate metabolic process	2/135	4/4436	0.005298837373881813	5	2	1.0	851059, 854699
GO:0006074	BP	e	(1->3)-beta-D-glucan metabolic process	1/135	1/4436	0.030432822362590782	8	1	1.0	854127
GO:0006366	BP	e	transcription by RNA polymerase II	2/135	12/4436	0.049697487613804985	10	2	1.0	852001, 856882
GO:0006469	BP	e	negative regulation of protein kinase activity	2/135	7/4436	0.01746312620024637	10	2	1.0	852977, 856538
GO:0006482	BP	e	protein demethylation	1/135	1/4436	0.030432822362590782	8	1	1.0	856474
GO:0006635	BP	e	fatty acid beta-oxidation	2/135	9/4436	0.028767026270173628	9	2	1.0	850990, 854646
GO:0006656	BP	e	phosphatidylcholine biosynthetic process	2/135	10/4436	0.03525189278842127	8	2	1.0	853052, 856523
GO:0006849	BP	e	plasma membrane pyruvate transport	1/135	1/4436	0.030432822362590782	11	1	1.0	853663
GO:0006887	BP	e	exocytosis	3/135	27/4436	0.04733500054780818	6	3	1.0	854668, 855423, 856753
GO:0007124	BP	e	pseudohyphal growth	5/135	49/4436	0.01579470737762826	5	5	1.0	850772, 851838, 852001, 854762, 856362
GO:0010124	BP	e	phenylacetate catabolic process	1/135	1/4436	0.030432822362590782	8	1	1.0	854646
GO:0010452	BP	e	histone H3-K36 methylation	1/135	1/4436	0.030432822362590782	11	1	1.0	853271
GO:0015706	BP	e	nitrate transport	1/135	1/4436	0.030432822362590782	7	1	1.0	856381
GO:0015707	BP	e	nitrite transport	1/135	1/4436	0.030432822362590782	7	1	1.0	856381
GO:0015709	BP	e	thiosulfate transport	1/135	1/4436	0.030432822362590782	7	1	1.0	851063
GO:0015739	BP	e	sialic acid transport	1/135	1/4436	0.030432822362590782	8	1	1.0	853663
GO:0015828	BP	e	tyrosine transport	2/135	7/4436	0.01746312620024637	10	2	1.0	853710, 854721
GO:0016095	BP	e	polyprenol catabolic process	1/135	1/4436	0.030432822362590782	7	1	1.0	854762
GO:0016310	BP	e	phosphorylation	11/135	166/4436	0.01697100445333117	5	11	1.0	850641, 851059, 851687, 852931, 854111, 854699, 854713, 854776, 855256, 855761, 855783
GO:0018013	BP	e	N-terminal peptidyl-glycine methylation	1/135	1/4436	0.030432822362590782	10	1	1.0	850991
GO:0018022	BP	e	peptidyl-lysine methylation	2/135	5/4436	0.008655638158230752	9	2	1.0	854746, 855707
GO:0018027	BP	e	peptidyl-lysine dimethylation	2/135	5/4436	0.008655638158230752	10	2	1.0	850991, 854746
GO:0018105	BP	e	peptidyl-serine phosphorylation	4/135	35/4436	0.02068358602405255	9	4	1.0	850641, 854776, 855256, 855783
GO:0018107	BP	e	peptidyl-threonine phosphorylation	2/135	11/4436	0.04224077965947582	9	2	1.0	854713, 854776
GO:0019321	BP	e	pentose metabolic process	1/135	1/4436	0.030432822362590782	5	1	1.0	851687
GO:0030091	BP	e	protein repair	1/135	1/4436	0.030432822362590782	6	1	1.0	850324
GO:0032259	BP	e	methylation	7/135	70/4436	0.005017229991286073	2	7	1.0	850991, 852050, 853271, 854711, 854746, 855707, 856616
GO:0032482	BP	e	Rab protein signal transduction	2/135	10/4436	0.03525189278842127	8	2	1.0	856417, 856753
GO:0033615	BP	e	mitochondrial proton-transporting ATP synthase complex assembly	2/135	11/4436	0.04224077965947582	8	2	1.0	851109, 854709
