top_redness,top_norm_redness,bottom_redness,bottom_norm_redness
CSE2,GAS5,IBA57,OPY1
MLC2,YOR1,OPY1,RIM8
YOR1,YJL175W,YCR090C,IBA57
NTA1,SKY1,HTD2,BUD8
YOL153C,YIL096C,DIA3,RPL9A
CRG1,YIL092W,MRPS9,TAF14
NCS2,YHK8,TAF14,RPS14B
ATX1,PRM2,YMR052C-A,DAN1
ETP1,NPR3,RIM8,YDL133W
YLR446W,YHL008C,THI72,ATP2
SSM4,YDR109C,ECM11,YJL215C
JSN1,ECM12,RPB9,YER187W
UNG1,CKA1,PCS60,BAT2
POA1,CPR8,YDR509W,YDR509W
GAS5,FMC1,CTF19,YKL187C
YDR370C,PPE1,NRG1,YBR284W
YMR279C,RPN4,ARO2,TAT1
HDA3,MUP3,STB2,ARO10
NPR3,SPO11,SNF7,DOA4
YNL165W,ASE1,VPS3,YGR039W
FMP41,YEL047C,KIN82,BFA1
NUC1,TPO3,KAR4,ARO2
SPO22,PDR18,UBA3,YOR300W
PPE1,YHR022C,SSH4,YJR026W
YML048W-A,PAM1,BFA1,YMR158C-B
TGL2,RTR1,FAR3,GAT3
FIG1,DFG10,MPC54,ATG16
SET2,ECI1,NGR1,STP1
ECI1,FPK1,CSM3,SNF7
YER010C,TIP1,ROM2,EHT1
PKP1,PRK1,YLR173W,MRPS9
SKO1,MXR2,PKH3,VTS1
EMP70,LAP2,DUN1,HFA1
PRM2,YMR294W-A,UPF3,GDH2
YPR174C,FMP46,ALD3,YCL002C
SEE1,PCL7,YSY6,HIS2
NDT80,CRG1,RPL22B,TVP23
PAP2,YGR290W,APL3,SOL2
GVP36,DYN1,YCL001W-A,VAC8
MUP3,DCN1,AFR1,YJL017W
RRT13,FIG1,RSM28,PSK1
RAD16,PFK26,NUT1,YKL030W
YPL088W,INM1,PHO8,ECM5
TIR1,RRT13,MTC5,ERV15
UBA4,HRT3,YDL011C,ECM11
CPR8,MSC2,STP1,LYS21
YNL190W,YRO2,YDL057W,PPH21
YJL181W,YPL088W,YNR061C,VPS3
YMR294W-A,KNS1,YHR035W,YLR012C
TAE1,YML102C-A,YPK2,YPS3
FMS1,TMA108,GID7,SPT8
HCH1,YGR050C,RTT10,YPL014W
YJL175W,YIL028W,YDL133W,RPL22B
TPK1,NRG2,YDL094C,YNR063W
FMC1,DPH1,DIG2,SNA4
ASE1,YOR015W,THI22,JLP1
TMA108,YOR029W,YGR039W,YSW1
BNI5,YIL141W,VTS1,YDL211C
NOT3,EMP70,GLC3,YBR197C
SAW1,NAT4,GRX2,YIG1
THI21,AVT7,YBR284W,YCR051W
YEL028W,HTA1,IRC2,YAR037W
SPL2,KSS1,AAT1,CMP2
YNL010W,COX12,MSC3,UGA4
DAL4,YHR210C,YBR300C,YLR042C
YNL115C,RPL26A,YEF1,YLR122C
PNC1,NTE1,YGR031W,YHR035W
YRO2,RPS10B,YDL121C,PET10
RSM27,IOC2,YML096W,YJL070C
EPT1,SIM1,RSC1,SIP18
YPT31,BUD17,BAT2,YDL025C
TIP1,NCA3,FLO10,ITR1
YML102C-A,TPP1,YJL206C,ARP6
IOC3,NNT1,AIM14,RSM28
MLF3,SPO14,HIS2,YDL121C
NRG2,MLF3,NAT3,GZF3
YIP3,YML048W-A,YFL052W,KIN82
YNL024C,RTG3,CYB5,ELO1
YIL015C-A,DOT1,EUG1,QDR3
DAL80,SGN1,YOR331C,FUN19
ALE1,MSB3,YMR118C,MET10
AVT3,EPT1,PGM2,UBP9
YHL037C,IOC3,VAC14,CST9
YGR050C,VID30,HLR1,MPC54
EXG2,PDR15,YOL159C,YGR025W
MIP6,YLR050C,YFL063W,YBR028C
ASN1,YKL202W,YSW1,SWI4
TPM2,SPL2,YBR028C,INP1
YKL202W,ROM1,YKU80,YDL094C
EDS1,SET2,SPG4,RPL22A
RPS10B,YPR014C,YRB30,RTC4
SGN1,ESC1,RTC4,YPK2
BNA2,YNL024C,HFA1,ADY3
YMR114C,PIL1,FKH1,YIP5
SIM1,YPT31,YCL002C,YCR076C
UTR1,YLL020C,YCL006C,GRX5
RLM1,YLR345W,YER038W-A,SHM2
KSS1,NMA1,HOR2,MRPL44
IBD2,MSN1,SVP26,CWC21
ROM1,YIL015C-A,MET10,VOA1
KEL1,YLR041W,MRPL28,FLO1
DYN1,JEN1,YGL152C,YMR178W
SSU1,RLM1,SSN2,YBR027C
YBR032W,PSK2,SMY2,PCS60
END3,HCH1,LPP1,GUP2
MRPS35,NDT80,MSH5,TOS3
MKK1,AVL9,YNR063W,UBP1
ARR3,CHZ1,GZF3,YLR057W
RTR1,YIL029C,YBR235W,ARA1
FMP46,PUS7,YGL165C,ERT1
YEL047C,SPT3,NPC2,MDH2
OST5,DIC1,SPT8,AAT1
NNT1,NOT3,UBR1,AIM1
SKY1,YNL089C,DDR48,DNF3
PUS1,SLP1,PML39,YOL079W
PDR18,HSC82,PUF6,CSM3
YHK8,CUR1,YER097W,MAG1
YBR271W,YJR128W,APT1,NTG1
YDC1,YOL114C,STV1,GSH1
AGX1,TPM2,TYW3,UBX2
COQ6,YHL037C,PFA5,NUP60
PNS1,END3,YMR086C-A,UBS1
PGD1,HEK2,LEM3,ABP140
YGR017W,POT1,LYS20,YGR022C
MPH1,SFT2,CYM1,PHM8
ARN2,AVT3,URA7,NKP1
FRT2,YMC1,MDH2,YIL102C
YNL040W,SHM1,DAK2,LDB16
RPN4,TRP3,FUI1,SST2
SAF1,ALO1,PEX14,VPS8
VID30,YLR065C,YML037C,HMS1
YPL264C,YML089C,MTG1,REX2
PAC2,YJL135W,PIH1,YKR041W
YMC1,SIL1,RRT12,YGL176C
YDL186W,YLL017W,RPS22A,GLC3
YGR093W,YOR376W,REC8,RPP2B
HXT10,YOL029C,KSP1,YCL023C
SLM2,RAD16,LDB16,YDR431W
YJL163C,YGR149W,BUD8,MAM3
YBR139W,SEE1,YML095C-A,MTQ2
YNL095C,EDS1,AIM41,STB2
SPO14,ETP1,LPD1,YAL018C
ALD2,FYV8,DUG1,AVT1
FLD1,YIL032C,KCC4,TVP15
TSR3,GOT1,LYS5,YLR280C
PET100,BNR1,MLP1,MNT4
YMR153C-A,RPL38,PTC1,ADE16
YHL012W,ATP10,IRC6,SXM1
SPO73,EGT2,GAT3,TRM13
RKM1,SIP3,UBS1,MLH3
YPL056C,MBA1,SLG1,SUN4
FCY21,FLR1,YOR300W,GDA1
YNR025C,AGX1,YOL079W,YGR122W
PHO91,YBR012C,YBR090C-A,ASP1
YPR1,YPR059C,FUN19,SPE3
RPS21B,YBR032W,YML122C,ERP6
UBC7,YMR007W,RTC2,GIP4
CYT2,IRC7,PSK1,MSC3
SEC22,DAL80,YPS3,HSP82
YBR292C,YDR282C,OPI3,HAP4
GIS3,PUF2,MAL32,YLL056C
YOL047C,XBP1,YHR080C,AFR1
FIS1,PAP2,NUM1,ARL1
KTR6,RAD61,YHR127W,COS1
DFG5,NTA1,RPS14B,ERD1
CAF4,YBR053C,PUS6,YLR297W
YDR109C,MIP6,THI7,IMD4
COQ2,YPR147C,CMK2,YAT1
YNL143C,TGL2,GUD1,AAT2
HAL5,FUN26,AGP1,YBR090C-A
YER046W-A,IES5,DYN2,YPR053C
ARF2,GSF2,YBR027C,PDR10
AXL2,FMS1,BIM1,SYN8
YLL016W,YHL012W,GUP2,RAD54
DPB3,OCA5,DMA2,NHP6A
AVT5,IRC11,SGS1,MHP1
COG6,TRI1,CAF130,RRT8
YOR029W,YPL109C,RPL27B,CTL1
YKL161C,PBP4,RMT2,MRPL24
YJL147C,YHL026C,GSH1,BSC5
YIL168W,TRS33,YDL172C,DUS1
YJL206C,PFK27,RSN1,LAT1
BUD17,YFL034W,YBL094C,DUG1
SCO1,KIN2,NHP6A,YKL091C
FAA1,SEC22,YPR090W,YMR086C-A
PET54,YLF2,CIT2,PXA1
YGR053C,ECL1,SNU66,YML018C
YER071C,HHF1,CTH1,FYV4
ISC10,CLN3,YCL023C,YBL065W
SWI5,ERP2,YKL097C,COX17
NAM7,YML020W,YPR050C,YMR147W
YIR024C,YGR176W,YLR042C,GYL1
PET494,MTO1,PIC2,GAL11
ROD1,IES1,GPM2,DDI3
YIL028W,MRN1,DCG1,YOR019W
LAP2,YDC1,UBP9,RAD59
SWC7,ASN1,COS1,YAL058C-A
