Plate #	Row	Column	ORF	Gene	Decription	GO Biological Process	GO Molecular Function	GO Cellular Component	96-position
1	A	1	Blank	Blank	Blank	Blank	Blank	Blank	1-A1
1	A	2	YLL040C	VPS13	"Protein of unknown function; heterooligomeric or homooligomeric complex; peripherally associated with membranes; homologous to human COH1; involved in sporulation, vacuolar protein sorting and protein-Golgi retention"	transport, sporulation resulting in formation of a cellular spore, vesicle-mediated transport, cellular protein catabolic process	molecular_function	mitochondrion, membrane, cytoplasm	2-A1
1	A	3	YAL068C	PAU8	Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions	sporulation resulting in formation of a cellular spore, transcription, RNA metabolic process	molecular_function	cellular_component	1-A2
1	A	4	Blank	Blank	Blank	Blank	Blank	Blank	2-A2
1	A	5	YAL067C	SEO1	"Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide"	transport	transporter activity	membrane	1-A3
1	A	6	YLL041C	SDH2	Iron-sulfur protein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone	cofactor metabolic process, generation of precursor metabolites and energy, cellular respiration	oxidoreductase activity	mitochondrion, membrane, mitochondrial envelope, cytoplasm	2-A3
1	A	7	YAL066W	YAL066W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	1-A4
1	A	8	YLL042C	ATG10	Conserved E2-like conjugating enzyme that mediates formation of the Atg12p-Atg5p conjugate, which is a critical step in autophagy	transport, response to stress, protein modification process, cellular membrane organization	ligase activity	cellular_component	2-A4
1	A	9	YAL065C	YAL065C	"Putative protein of unknown function; has homology to FLO1; possible pseudogene"	biological_process	molecular_function	cellular_component	1-A5
1	A	10	YLL043W	FPS1	"Plasma membrane channel, member of major intrinsic protein (MIP) family; involved in efflux of glycerol and in uptake of acetic acid and the trivalent metalloids arsenite and antimonite; phosphorylated by Hog1p MAPK under acetate stress"	transport, response to chemical stimulus, conjugation	transporter activity	vacuole, membrane, cytoplasm, plasma membrane	2-A5
1	A	11	YAL062W	GDH3	"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources"	cellular amino acid and derivative metabolic process	oxidoreductase activity	nucleus, mitochondrion, cytoplasm	1-A6
1	A	12	YLL045C	RPL8B	"Ribosomal protein L4 of the large (60S) ribosomal subunit, nearly identical to Rpl8Ap and has similarity to rat L7a ribosomal protein; mutation results in decreased amounts of free 60S subunits"	translation	structural molecule activity	ribosome, cytoplasm	2-A6
1	A	13	YAL061W	BDH2	"Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3"	biological_process	oxidoreductase activity	nucleus, cytoplasm	1-A7
1	A	14	YLL046C	RNP1	Ribonucleoprotein that contains two RNA recognition motifs (RRM)	ribosome biogenesis	RNA binding	cytoplasm	2-A7
1	A	15	YAL060W	BDH1	"NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"	other	oxidoreductase activity	cytoplasm	1-A8
1	A	16	YLL047W	YLL047W	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene RNP1"	biological_process	molecular_function	cellular_component	2-A8
1	A	17	YAL059W	ECM1	Protein of unknown function, localized in the nucleoplasm and the nucleolus, genetically interacts with MTR2 in 60S ribosomal protein subunit export	transport, fungal-type cell wall organization, ribosome biogenesis	molecular_function	nucleus, nucleolus	1-A9
1	A	18	YLL051C	FRE6	"Putative ferric reductase with similarity to Fre2p; expression induced by low iron levels"	transport, cellular homeostasis	oxidoreductase activity	membrane, vacuole, cytoplasm	2-A9
1	A	19	YAL058W	CNE1	"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"	response to chemical stimulus, response to stress, protein folding, cellular protein catabolic process	protein binding	endomembrane system, membrane, endoplasmic reticulum, cytoplasm	1-A10
1	A	20	YLL052C	AQY2	"Water channel that mediates the transport of water across cell membranes, only expressed in proliferating cells, controlled by osmotic signals, may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains"	transport	transporter activity	membrane, endomembrane system, endoplasmic reticulum, plasma membrane, cytoplasm	2-A10
1	A	21	YAL056W	GPB2	"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p"	transcription, signal transduction, response to chemical stimulus, sporulation resulting in formation of a cellular spore, pseudohyphal growth, RNA metabolic process	enzyme regulator activity, signal transducer activity, protein binding	mitochondrion, membrane, cytoplasm, plasma membrane	1-A11
1	A	22	YLL053C	YLL053C	"Putative protein; in the Sigma 1278B strain background YLL053C is contiguous with AQY2 which encodes an aquaporin"	biological_process	molecular_function	cellular_component	2-A11
1	A	23	YAL055W	PEX22	Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation	transport, peroxisome organization	protein binding	peroxisome, membrane, cytoplasm	1-A12
1	A	24	YLL054C	YLL054C	"Putative protein of unknown function with similarity to Pip2p, an oleate-specific transcriptional activator of peroxisome proliferation; YLL054C is not an essential gene"	biological_process	transcription regulator activity, DNA binding	membrane, plasma membrane	2-A12
1	B	1	YLR119W	SRN2	"Component of the ESCRT-I complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome; suppressor of rna1-1 mutation; may be involved in RNA export from nucleus"	transport, cellular protein catabolic process	protein binding	membrane, cytoplasm	3-A1
1	B	2	YMR035W	IMP2	"Catalytic subunit of the mitochondrial inner membrane peptidase complex, required for maturation of mitochondrial proteins of the intermembrane space; complex contains Imp1p and Imp2p (both catalytic subunits), and Som1p"	transport, mitochondrion organization	peptidase activity, hydrolase activity	mitochondrion, membrane, mitochondrial envelope, cytoplasm	4-A1
1	B	3	YLR120C	YPS1	Aspartic protease, attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor	other	peptidase activity, hydrolase activity	cell wall	3-A2
1	B	4	YMR036C	MIH1	"Protein tyrosine phosphatase involved in cell cycle control; regulates the phosphorylation state of Cdc28p; homolog of S. pombe cdc25"	cell cycle	phosphoprotein phosphatase activity, hydrolase activity	nucleus, cytoplasm	4-A2
1	B	5	Blank	Blank	Blank	Blank	Blank	Blank	3-A3
1	B	6	YMR039C	SUB1	"Transcriptional coactivator, facilitates elongation through factors that modify RNAP II; role in peroxide resistance involving Rad2p; role in the hyperosmotic stress response through polymerase recruitment at RNAP II and RNAP III genes"	response to stress, transcription, protein complex biogenesis, RNA metabolic process	transcription regulator activity, protein binding	nucleus	4-A3
1	B	7	YLR121C	YPS3	Aspartic protease, attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor	fungal-type cell wall organization	peptidase activity, structural molecule activity, hydrolase activity	membrane, plasma membrane	3-A4
1	B	8	Blank	Blank	Blank	Blank	Blank	Blank	4-A4
1	B	9	YLR122C	YLR122C	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YLR123C"	biological_process	molecular_function	cellular_component	3-A5
1	B	10	YMR040W	YET2	"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; homolog of human BAP31 protein"	biological_process	molecular_function	membrane, ribosome, cytoplasm	4-A5
1	B	11	YLR123C	YLR123C	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YLR122C; contains characteristic aminoacyl-tRNA motif"	biological_process	molecular_function	cellular_component	3-A6
1	B	12	YMR041C	ARA2	"NAD-dependent arabinose dehydrogenase, involved in biosynthesis of dehydro-D-arabinono-1,4-lactone; similar to plant L-galactose dehydrogenase"	heterocycle metabolic process	oxidoreductase activity	cellular_component	4-A6
1	B	13	YLR124W	YLR124W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	3-A7
1	B	14	YMR042W	ARG80	"Transcription factor involved in regulation of arginine-responsive genes; acts with Arg81p and Arg82p"	transcription, cellular amino acid and derivative metabolic process, RNA metabolic process	transcription regulator activity, DNA binding	nucleus	4-A7
1	B	15	YLR125W	YLR125W	"Putative protein of unknown function; mutant has decreased Ty3 transposition; YLR125W is not an essential gene"	biological_process	molecular_function	cellular_component	3-A8
1	B	16	YMR044W	IOC4	Member of a complex (Isw1b) with Isw1p and Ioc2p that exhibits nucleosome-stimulated ATPase activity and acts within coding regions to coordinate transcription elongation with termination and processing, contains a PWWP motif	chromosome organization	DNA binding, protein binding, hydrolase activity	nucleus	4-A8
1	B	17	YML089C	YML089C	"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data; expression induced by calcium shortage"	biological_process	molecular_function	cellular_component	3-A9
1	B	18	YMR140W	SIP5	"Protein of unknown function; interacts with both the Reg1p/Glc7p phosphatase and the Snf1p kinase"	response to stress	molecular_function	cytoplasm	4-A9
1	B	19	YML088W	UFO1	"F-box receptor protein, subunit of the Skp1-Cdc53-F-box receptor (SCF) E3 ubiquitin ligase complex; binds to phosphorylated Ho endonuclease, allowing its ubiquitylation by SCF and subsequent degradation"	response to stress, cellular protein catabolic process	protein binding, ligase activity	nucleus, cytoplasm	3-A10
1	B	20	YMR141C	YMR141C	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	4-A10
1	B	21	YML087C	AIM33	"Putative protein of unknown function, highly conserved across species and orthologous to human CYB5R4; null mutant displays reduced frequency of mitochondrial genome loss"	biological_process	molecular_function	cellular_component	3-A11
